Both Coders:
R34  noshrinky
R34  shrinky
E22  shrinky
R37  noshrinky
M206 noshrinky
M198 shrinky
A298 shrinky
A297 shrinky
AF11 noshrinky
E3   noshrinky
E51  shrinky
M146 shrinky
A294 noshrinky
A276 shrinky
AF2  noshrinky
A380 noshrinky
R35  shrinky
E29  noshrinky

Coder 1:
A298 noshrinky
A326 noshrinky
A338 noshrinky
A338 shrinky 
A340 noshrinky
A345 shrinky
E52  noshrinky
A294 shrinky
A295 shrinky
A339 shrinky
L177 noshrinky
A380 shrinky
B37  shrinky
B37  noshrinky
E29  shrinky
AF11 shrinky
M146 noshrinky
AF2  shrinky
A327 shrinky
M143 noshrinky
E51  noshrinky
B56  noshrinky
A327 noshrinky
C59  noshrinky
M201 shrinky
M140 noshrinky
AF7  shrinky
M191 shrinky
A340 shrinky
A272 shrinky
A272 noshrinky
M197 noshrinky
A276 noshrinky
M143 shrinky
R12  shrinky
A339 noshrinky
M198 noshrinky
M191 noshrinky
E22  noshrinky
M197 shrinky
L177 shrinky
R35  noshrinky
E3   shrinky
E52  shrinky
R37  shrinky

Coder 3:
A326 shrinky
A345 noshrinky
AF8  shrinky
B38  noshrinky
M201 noshrinky
C59  shrinky
R12  noshrinky
B33  noshrinky
M193 noshrinky
B38  shrinky
AF8  noshrinky
M140 shrinky
B33  shrinky
A297 noshrinky
A295 noshrinky
B56  shrinky
M193 shrinky
M206 shrinky
R17  shrinky 
R17  noshrinky
AF7  noshrinky
